movie,genres
Sarfarosh,"['Action', 'Adventure', 'Drama']"
PRIDE Fighting Championships: Cold Fury 2,['Sport']
Justice League: Paradise Lost,"['Animation', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']"
Chuck Norris: Private Lesson,['Documentary']
Code Hunter,"['Action', 'Sci-Fi']"
Berga: Soldiers of Another War,"['Documentary', 'History', 'War']"
Dinner at Eight,"['Comedy', 'Drama']"
Ram Lakhan,"['Action', 'Drama', 'Musical']"
Winter Light,['Drama']
His Girl Friday,"['Comedy', 'Drama', 'Romance']"
Kim Possible: A Sitch in Time,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
Stray Dog,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']"
Prey for Rock and Roll,"['Drama', 'Music']"
The Mosquito Coast,"['Adventure', 'Drama', 'Thriller']"
If These Walls Could Talk 2,"['Drama', 'Romance']"
Kramer vs. Kramer,['Drama']
Dandelion Dead,"['Crime', 'Drama', 'Mystery']"
Reign: The Conqueror,"['Animation', 'Action', 'Adventure', 'Sci-Fi']"
Breathless,"['Adventure', 'Mystery', 'Thriller']"
The World According to Garp,"['Comedy', 'Drama']"
True Lies,"['Action', 'Comedy', 'Thriller']"
Terms of Endearment,"['Comedy', 'Drama']"
Alice,"['Adventure', 'Family', 'Fantasy']"
John Wayne: American Legend,"['Documentary', 'Biography']"
Jessica Simpson: Dream Chaser,['Music']
Scream Bloody Murder,"['Drama', 'Horror', 'Thriller']"
Somewhere in Time,"['Drama', 'Fantasy', 'Romance']"
The Strange Vice of Mrs. Wardh,"['Crime', 'Horror', 'Mystery', 'Thriller']"
The Hidden Half,['Drama']
The Count of Monte Cristo,"['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']"
When Father Was Away on Business,['Drama']
Shame,"['Drama', 'Romance']"
My Wife's Murder,"['Drama', 'Mystery', 'Thriller']"
The Return of the Native,['Drama']
A Perfect World,"['Crime', 'Drama', 'Thriller']"
The 3 Worlds of Gulliver,"['Adventure', 'Family', 'Fantasy']"
Koyla,"['Action', 'Drama', 'Musical', 'Romance', 'Thriller']"
Billy Elliot,"['Drama', 'Music', 'Romance']"
When We Were Kings,"['Documentary', 'Sport']"
William S. Burroughs: Commissioner of Sewers,['Documentary']
The Warrior from Shaolin,"['Action', 'Comedy']"
Inspirations,['Documentary']
Home Alone 3,"['Comedy', 'Crime', 'Family']"
Ghostbusters 2,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']"
Vanya on 42nd Street,"['Comedy', 'Drama', 'Romance']"
The Assassination of Richard Nixon,"['Biography', 'Crime', 'Drama', 'History', 'Thriller']"
Presidential Bloopers,"['Comedy', 'Short']"
Gia,"['Biography', 'Drama', 'Romance']"
Crash of Flight 111: Nova,"['Documentary', 'Biography']"
